Title ,Content
NI's road death figures for 2023 'simply horrific',"['Northern', 'Ireland', 'record', 'highest', 'annual', 'number', 'motoring', 'fatality', 'eight', 'year']"
'Topping the charts has turned my life upside down',"['Genrebending', 'pianist', 'Jamie', 'Duffy', 'nearly', 'one', 'million', 'monthly', 'Spotify', 'listener', 'globally']"
Fire at former Dublin pub was arson,"['Ringsend', 'building', 'due', 'used', 'emergency', 'accommodation', 'homeless', 'family']"
Ulster hang on for famous away win against Leinster,"['Ulster', 'beat', 'Leinster', '2122', 'pulsating', 'United', 'Rugby', 'Championship', 'contest', 'RDS']"
The café bringing Parkinson's patients together,"['people', 'like', 'Denis', 'Brown', 'session', 'allow', 'people', 'get', 'together', 'laugh']"
Teen darts player in World semis after Dolan defeat,"['Luke', 'Littler', '16', 'make', 'PDC', 'World', 'Darts', 'Championship', 'semi', 'win', 'Fermanagh', 'player']"
We're a scapegoat for PPE failures - Mone's husband,"['Doug', 'Barrowman', 'say', 'family', 'treated', 'punchbag', 'lamentable', 'failure', 'minister']"
Man dies in shooting outside pub before bells,"['Another', 'man', 'hospital', 'police', 'described', 'targeted', 'attack', 'Edinburgh', 'bar']"
Ex-adviser: SNP faces biggest challenge in 20 years,"['Nicola', 'Sturgeons', 'exchief', 'staff', 'say', 'party', 'need', 'get', 'act', 'together', 'general', 'election']"
Loony Dookers brave icy Forth for New Year plunge,"['Swimmers', 'continued', 'traditional', 'dip', 'Firth', 'Forth', 'kick', '2024']"
Footballer's family call for pancreatic cancer awareness,"['Former', 'Celtic', 'St', 'Mirren', 'player', 'Frank', 'McGarvey', 'died', 'three', 'month', 'diagnosed', 'disease']"
Scotland sees in 2024 with fireworks and song,"['Tens', 'thousand', 'watch', 'firework', 'explode', 'Edinburghs', 'skyline', 'New', 'Year', 'begin']"
Murray loses to Dimitrov in Brisbane first round,"['Andy', 'Murray', 'make', 'firstround', 'exit', 'Brisbane', 'International', 'Grigor', 'Dimitrov', 'come', 'behind', 'win', 'three', 'set']"
